Geographic Area,"July 1, 2001 Estimate","July 1, 2000 Estimate","April 1, 2000 Population Estimates Base"
United States,284796887,282124631,281421906
Alabama,4464356,4451493,4447100
Alaska,634892,627601,626932
Arizona,5307331,5165274,5130632
Arkansas,2692090,2678030,2673400
California,34501130,34000446,33871648
Colorado,4417714,4323410,4301261
Connecticut,3425074,3410079,3405565
Delaware,796165,786234,783600
District of Columbia,571822,571066,572059
Florida,16396515,16054328,15982378
Georgia,8383915,8229823,8186453
Hawaii,1224398,1212281,1211537
Idaho,1321006,1299258,1293953
Illinois,12482301,12435970,12419293
Indiana,6114745,6089950,6080485
Iowa,2923179,2927509,2926324
Kansas,2694641,2691750,2688418
Kentucky,4065556,4047424,4041769
Louisiana,4465430,4469970,4468976
Maine,1286670,1276961,1274923
Maryland,5375156,5310908,5296486
Massachusetts,6379304,6357072,6349097
Michigan,9990817,9952006,9938444
Minnesota,4972294,4931093,4919479
Mississippi,2858029,2849100,2844658
Missouri,5629707,5603553,5595211
Montana,904433,903157,902195
Nebraska,1713235,1712577,1711263
Nevada,2106074,2018723,1998257
New Hampshire,1259181,1239881,1235786
New Jersey,8484431,8429007,8414350
New Mexico,1829146,1821282,1819046
New York,19011378,18989332,18976457
North Carolina,8186268,8077367,8049313
North Dakota,634448,640919,642200
Ohio,11373541,11359955,11353140
Oklahoma,3460097,3453250,3450654
Oregon,3472867,3429293,3421399
Pennsylvania,12287150,12282591,12281054
Rhode Island,1058920,1050236,1048319
South Carolina,4063011,4023438,4012012
South Dakota,756600,755509,754844
Tennessee,5740021,5702027,5689283
Texas,21325018,20946503,20851820
Utah,2269789,2241555,2233169
Vermont,613090,609709,608827
Virginia,7187734,7104016,7078515
Washington,5987973,5908372,5894121
West Virginia,1801916,1807099,1808344
Wisconsin,5401906,5372243,5363675
Wyoming,494423,494001,493782